Expected, Response 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
orange,orange 
orange,braun 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,rosa 
orange,orange 
orange,orange 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 

