Expected, Response 
red,red 
red,red 
red,red 
green,green 
green,green 
green,green 
blue,blue 
blue,blue 
blue,blue 
white,blue white 
white,white 
white,white 
black,black 
black,blue 
black,black 
orange,orange 
orange,orange 
orange,orange 
yellow,yellow 
yellow,yellow 
yellow,yellow 
brown,brown 
brown,brown 
brown,brown 
pink,pink 
pink,pink 
pink,pink 
purple,purple 
purple,purple 
purple,purple 

