Expected, Response 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
grün,braun 
grün,grün 
grün,grün 
grün,grün 
grün,rot 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,braun 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,braun 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
weiß,weiß 
weiß,weiß 
weiß,schwarz 
weiß,schwarz 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,schwarz 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
orange,orange 
orange,braun 
orange,orange 
orange,rot 
orange,orange 
orange,braun 
orange,rot 
orange,gelb 
orange,braun 
orange,orange 
orange,rot 
orange,orange 
orange,rot 
orange,orange 
orange,orange 
orange,rot 
orange,orange 
orange,orange 
orange,rot 
orange,orange 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,rosa 
rosa,orange 
rosa,rosa 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 

